Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
02-05-2018,TCS,EQ,3530.5,3532.2,3471.3,3532.1,3500,3499.75,3496.99,3560,2268.5,1579023,5521825658,142452
03-05-2018,TCS,EQ,3509.8,3526,3470.4,3499.75,3481.75,3481.85,3501.58,3560,2268.5,1880775,6585681501,132523
04-05-2018,TCS,EQ,3492,3497,3470,3481.85,3479,3480.75,3485.14,3560,2268.5,1173622,4090241756,60186
07-05-2018,TCS,EQ,3490,3490,3410.9,3480.75,3428,3420.95,3438.41,3560,2316,1742213,5990435303,95521
08-05-2018,TCS,EQ,3434.7,3486.5,3396.7,3420.95,3440.2,3441.2,3447.8,3560,2316,1496410,5159322100,75803
09-05-2018,TCS,EQ,3440.2,3494.75,3440.2,3441.2,3488.5,3489.3,3480.95,3560,2316,1307525,4551423048,74986
10-05-2018,TCS,EQ,3502.95,3511.15,3440.2,3489.3,3446.3,3451.25,3478.59,3560,2316,1929339,6711381186,78782
11-05-2018,TCS,EQ,3454.2,3485,3442.5,3451.25,3461,3456.95,3461.07,3560,2316,1313938,4547636850,44332
14-05-2018,TCS,EQ,3457,3471,3410.8,3456.95,3440,3433.55,3427.81,3560,2323.1,1216947,4171459981,67155
15-05-2018,TCS,EQ,3450,3495.8,3433.7,3433.55,3487,3482.4,3477.97,3560,2323.1,976445,3396047379,72769
16-05-2018,TCS,EQ,3479.95,3509,3475.25,3482.4,3497,3493.9,3494.21,3560,2323.1,824225,2880012135,62359
17-05-2018,TCS,EQ,3512.95,3533.15,3476,3493.9,3480.8,3491.8,3509.69,3560,2323.1,1484024,5208463595,147144
18-05-2018,TCS,EQ,3480.8,3517.7,3458,3491.8,3495,3502.05,3487.86,3560,2323.1,937498,3269860707,71488
21-05-2018,TCS,EQ,3528.7,3592,3518.05,3502.05,3551.8,3556.75,3567.15,3592,2323.1,1723089,6146517740,113610
22-05-2018,TCS,EQ,3558,3574.95,3493.7,3556.75,3514.4,3508.9,3520.43,3592,2323.1,928708,3269452704,71360
23-05-2018,TCS,EQ,3525,3545,3481,3508.9,3498.95,3495.1,3513.84,3592,2323.1,753649,2648198400,65699
24-05-2018,TCS,EQ,3510,3615,3502.35,3495.1,3610.75,3603.7,3579.69,3615,2323.1,1481158,5302086674,78667
25-05-2018,TCS,EQ,3625,3674.8,3572.55,3603.7,3589.9,3585.8,3633.11,3674.8,2323.1,1884886,6848001305,142355
