Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
12-12-2019,State Bank of India,EQ,314,322.95,313.55,312.8,321.45,321.85,317.89,373.8,244.35,37804216,12017627902,234427
13-12-2019,State Bank of India,EQ,325.2,333.45,325,321.85,333.15,332.55,329.84,373.8,244.35,40955226,13508848441,252185
16-12-2019,State Bank of India,EQ,335.95,337.25,330.8,332.55,332.3,331.85,333.33,373.8,244.35,35027613,11675699798,245635
17-12-2019,State Bank of India,EQ,333.25,335.75,330.65,331.85,333.55,332.9,333.79,373.8,244.35,26734601,8923796061,184237
18-12-2019,State Bank of India,EQ,335,335.55,325.8,332.9,327.2,326.95,328.8,373.8,244.35,26449075,8696405934,196530
19-12-2019,State Bank of India,EQ,327.35,329.6,324.5,326.95,328.3,328.15,327.19,373.8,244.35,27516289,9002958328,171554
20-12-2019,State Bank of India,EQ,330.35,339.5,330.35,328.15,337.25,337.85,336.38,373.8,244.35,51839714,17438059881,320799
23-12-2019,State Bank of India,EQ,335.7,338.85,330.35,337.85,332.4,332.4,334.27,373.8,244.35,30150335,10078492861,176514
24-12-2019,State Bank of India,EQ,333.2,334.2,329.2,332.4,331.95,331.45,331.35,373.8,244.35,21747782,7206207419,134272
26-12-2019,State Bank of India,EQ,333,333.45,328.1,331.45,330.2,329.85,330.09,373.8,244.35,24616942,8125696269,139034
27-12-2019,State Bank of India,EQ,333.4,338.35,333,329.85,337.2,337.25,336.68,373.8,244.35,33477173,11271063364,209260
30-12-2019,State Bank of India,EQ,337.75,337.85,332.5,337.25,334.45,334.4,334.47,373.8,244.35,22775554,7617748864,133458
31-12-2019,State Bank of India,EQ,334.4,336.35,332.55,334.4,333.8,333.75,334.36,373.8,244.35,23801635,7958254900,145537
01-01-2020,State Bank of India,EQ,334.7,335.95,332.15,333.75,335,334.45,334.03,373.8,244.35,17379320,5805129514,99108
02-01-2020,State Bank of India,EQ,334.5,339.85,333.35,334.45,338.8,339.3,336.81,373.8,244.35,20324236,6845341476,123189
03-01-2020,State Bank of India,EQ,337.95,337.95,332,339.3,334,333.7,335.08,373.8,244.35,21853208,7322600454,139793
