Date,Company_name,series,OPEN,HIGH,LOW,PREV. CLOSE,ltp,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
05-01-2022,Sun Pharma ,EQ,840,844.55,830.65,837.7,837.15,835.1,836.77,860.05,550.4,2436343,2038654037,56965
06-01-2022,Sun Pharma ,EQ,837.8,844.9,822,835.1,829.85,829.6,831.24,860.05,550.4,2423850,2014790251,59719
07-01-2022,Sun Pharma ,EQ,829.6,836,825.2,829.6,829.6,828.95,829.81,860.05,550.4,1475374,1224286761,62154
10-01-2022,Sun Pharma ,EQ,832.1,835,817.55,828.95,825.1,826.7,828.2,860.05,550.4,4837873,4006710413,108775
11-01-2022,Sun Pharma ,EQ,830.9,841.5,828.3,826.7,831.65,832.4,834.04,860.05,550.4,4950526,4128918830,111341
12-01-2022,Sun Pharma ,EQ,845,845,827.5,832.4,835.9,836.2,833.47,860.05,550.4,3953446,3295069690,97409
13-01-2022,Sun Pharma ,EQ,836.2,871,834.25,836.2,866.05,865.5,862.01,871,550.4,7395140,6374676010,150758
14-01-2022,Sun Pharma ,EQ,865.5,868.9,856.8,865.5,857.5,859.75,861.65,871,550.4,2351963,2026577113,59348
17-01-2022,Sun Pharma ,EQ,859.75,863.4,850.5,859.75,854.6,853.2,855.92,871,550.4,1750754,1498509407,86621
18-01-2022,Sun Pharma ,EQ,855,867.2,845,853.2,848,846.7,855.61,871,550.4,3354708,2870318867,95446
19-01-2022,Sun Pharma ,EQ,848,848,834,846.7,836.9,838.5,839.64,871,550.4,1677779,1408725509,62609
20-01-2022,Sun Pharma ,EQ,839.3,842.75,815.65,838.5,821.9,820,823.79,871,550.4,2886894,2378188094,78385
21-01-2022,Sun Pharma ,EQ,816.5,819.7,801.1,820,808.7,808.75,809.92,871,550.4,3218477,2606711824,78209
24-01-2022,Sun Pharma ,EQ,804,825,791.6,808.75,797,800.85,807.78,871,550.4,5300160,4281352930,97932
25-01-2022,Sun Pharma ,EQ,791,811.7,784.8,800.85,807.95,808.05,801.21,871,550.4,3779497,3028175187,82895
27-01-2022,Sun Pharma ,EQ,802,817.4,791.3,808.05,810.2,812.1,806.32,871,550.4,3593525,2897516980,83443
28-01-2022,Sun Pharma ,EQ,816,842.9,812.1,812.1,829.45,827.35,832.1,871,550.4,5073701,4221803889,100008
31-01-2022,Sun Pharma ,EQ,830.1,849.75,820.05,827.35,834,834.5,836.27,871,562.1,8041517,6724913331,158475
01-02-2022,Sun Pharma ,EQ,847.4,895,839.85,834.5,891.9,891.75,876.9,895,562.1,12337459,10818749713,237350
02-02-2022,Sun Pharma ,EQ,890,898.45,882,891.75,890,890.65,888.89,898.45,562.1,4404741,3915351396,102986
03-02-2022,Sun Pharma ,EQ,889.35,891.2,880.45,890.65,883,883.55,885.96,898.45,562.1,2292825,2031343060,115997
